weekly_lms_logins,video_watch_pct,avg_quiz_score,assignment_completion_rate,avg_submission_delay_days,forum_posts_per_month,session_attendance_pct,gpa_trend,current_gpa,part_time_job,semester,dropout_risk
6.0,73.0,70.0,99.4,5.0,3,81.5,-0.1,3.31,1,8,0
6.1,62.7,80.5,79.4,3.6,7,55.4,0.66,3.8,0,7,0
7.1,35.9,66.3,49.5,2.2,2,66.4,0.87,2.78,0,6,0
9.0,81.3,96.4,59.0,4.3,6,55.7,1.48,3.12,0,7,0
7.6,75.7,66.2,94.1,5.5,1,30.7,0.63,3.42,0,6,0
5.8,63.3,66.1,85.8,4.3,5,33.8,0.17,3.53,0,2,1
6.0,64.1,64.6,64.9,3.2,1,46.5,-0.16,3.73,0,4,0
9.6,20.5,60.8,42.9,1.7,3,34.3,-0.12,2.58,1,2,0
5.8,85.4,85.7,68.8,3.4,3,59.8,0.25,3.22,1,4,0
13.9,86.0,100.0,80.4,2.1,5,71.5,0.89,3.87,0,5,0
4.0,25.4,45.8,59.8,3.7,2,31.6,-0.97,2.13,1,4,1
3.4,40.9,53.3,32.5,5.0,1,6.5,-1.2,2.91,0,3,0
9.5,68.3,81.3,63.6,2.2,5,70.8,0.38,3.06,0,7,0
5.2,41.1,59.4,47.4,4.7,1,40.4,-0.45,2.52,0,3,0
6.3,80.2,81.8,64.8,4.9,5,43.4,-0.42,2.86,1,3,0
7.4,24.6,60.2,74.4,0.2,4,81.5,-0.5,2.93,1,8,0
5.3,20.6,48.1,55.8,1.5,3,41.8,-0.08,3.54,1,4,1
8.9,37.9,92.6,100.0,0.0,5,74.7,0.87,3.11,0,6,0
11.0,68.1,75.5,58.7,5.9,6,82.9,1.53,3.0,0,4,1
4.4,70.0,74.3,90.8,3.6,5,37.0,1.06,3.8,0,7,0
4.3,57.7,59.5,45.6,4.4,6,54.5,-0.81,3.05,0,4,0
6.4,60.6,81.4,65.8,4.4,5,81.0,0.23,3.54,0,1,0
0.3,32.5,29.6,41.7,2.5,4,29.3,-1.8,1.65,0,1,1
4.5,31.7,42.2,62.7,0.0,1,16.5,-1.75,2.54,0,1,1
8.6,68.6,32.6,58.9,2.5,1,51.1,1.4,3.37,0,3,0
2.0,70.9,54.4,67.8,4.6,1,60.3,0.86,2.55,0,5,0
7.1,49.8,80.6,65.9,1.8,3,27.7,-0.08,3.44,1,2,1
6.3,51.2,63.5,28.5,0.0,3,33.6,0.76,2.81,1,1,0
4.8,43.0,43.5,52.5,1.6,4,83.6,0.49,2.32,1,7,0
6.6,95.8,94.9,61.9,0.0,3,84.2,-0.49,3.91,0,2,0
5.3,36.5,59.2,75.7,1.9,3,78.3,0.29,3.31,0,1,0
3.9,65.6,78.2,76.2,0.8,1,67.6,-0.5,2.81,0,4,0
10.2,61.0,94.7,75.9,1.2,5,90.5,1.19,3.84,0,4,0
0.0,50.9,46.8,26.5,3.1,2,30.8,1.02,2.98,1,3,0
5.5,62.9,80.7,48.5,4.3,1,59.8,0.78,2.58,0,7,0
5.8,56.9,61.3,74.4,0.5,8,87.5,0.07,3.18,1,3,0
5.4,62.4,44.4,64.7,3.7,5,66.5,0.64,2.54,1,2,1
6.2,36.4,73.0,100.0,3.4,4,50.2,-1.53,2.11,1,3,1
6.5,38.6,67.8,55.5,3.7,3,52.1,0.22,2.64,1,5,0
7.6,70.9,71.6,54.8,4.4,9,57.4,-0.02,2.09,1,5,0
8.4,63.3,86.0,100.0,3.0,8,63.2,0.99,3.54,0,8,0
4.1,33.9,57.7,37.8,6.4,2,37.5,-1.38,1.71,1,8,1
10.6,76.9,60.5,51.0,3.5,5,49.8,0.41,2.34,0,5,0
6.7,60.4,54.9,61.4,3.8,2,44.9,0.28,3.1,0,8,0
7.5,68.2,63.4,76.9,1.1,7,42.9,-1.25,3.35,0,7,0
9.3,74.3,67.4,65.8,3.9,3,58.1,0.12,2.97,0,3,0
5.4,54.0,30.5,58.8,2.4,2,29.6,-1.12,2.82,0,1,0
10.1,63.8,67.6,76.8,1.9,5,91.7,0.53,2.6,1,2,1
5.5,29.9,52.8,32.9,2.6,0,18.7,-0.01,2.08,0,6,1
6.0,13.5,37.9,66.3,2.3,1,45.0,-1.08,2.57,0,2,0
8.7,71.2,60.5,61.4,1.4,9,51.1,-0.26,3.71,0,8,1
7.2,65.6,57.0,64.5,2.6,5,53.8,-0.1,2.58,1,2,0
10.9,59.9,88.7,73.3,0.0,11,82.6,0.04,3.15,0,7,0
4.2,52.9,50.7,38.4,2.7,3,25.5,-0.09,3.43,0,6,0
8.7,54.3,84.9,61.3,3.5,6,25.7,-0.44,3.02,0,1,1
2.4,74.6,44.5,88.6,1.9,4,37.5,0.24,2.9,0,8,1
7.8,30.9,50.3,55.4,7.8,4,27.8,-0.04,3.32,1,3,1
6.4,57.8,68.9,31.6,4.0,6,50.5,-0.22,3.64,1,7,0
3.6,31.0,59.4,48.5,4.2,5,44.5,0.34,2.6,1,1,1
9.5,55.5,81.4,60.1,0.7,7,48.3,0.53,2.88,0,4,0
9.1,48.7,60.2,85.3,2.5,3,66.7,0.01,3.34,0,1,0
6.4,63.7,71.2,76.3,2.0,4,67.1,0.46,2.97,1,6,0
10.7,63.3,52.9,36.7,2.7,9,56.5,-0.43,3.54,0,8,0
9.7,69.0,72.3,86.3,4.5,11,62.4,-0.01,3.0,0,8,0
11.9,59.8,62.4,60.1,0.0,2,60.7,-1.04,2.65,1,3,0
8.6,35.3,49.9,55.4,2.2,2,84.3,0.58,2.41,0,6,0
10.1,86.2,57.8,66.1,2.8,6,90.7,0.28,3.52,0,6,0
7.3,75.5,87.5,100.0,0.1,7,95.6,0.67,3.37,0,7,0
8.7,45.9,71.0,68.3,0.0,6,44.8,0.28,3.62,0,1,0
4.4,56.9,55.2,56.7,3.0,2,26.1,-0.73,2.43,1,3,0
11.3,64.5,62.2,59.6,4.6,4,71.7,0.84,3.04,0,1,0
12.4,83.1,82.1,88.1,0.0,5,100.0,0.67,3.04,0,1,0
9.5,82.2,98.1,72.4,1.4,4,78.3,-0.22,3.01,1,8,0
13.3,82.6,59.0,75.1,2.8,7,51.2,0.11,2.54,1,2,0
4.9,73.4,69.1,68.9,0.3,6,68.5,1.21,4.0,1,2,0
5.6,47.8,37.5,53.6,3.0,2,46.7,-0.33,2.39,1,2,1
9.1,20.6,82.0,76.8,1.9,1,47.8,0.3,3.53,0,7,0
11.4,82.4,79.2,67.0,0.2,5,63.1,0.59,3.39,1,3,0
4.8,88.7,79.2,57.2,0.0,3,59.5,-0.57,2.15,1,5,0
6.3,15.7,8.1,79.8,4.1,2,30.4,-0.69,1.93,1,5,1
5.1,42.2,46.2,22.8,6.6,3,13.3,-0.76,2.22,0,7,1
7.2,77.3,54.8,50.2,6.2,5,71.2,0.02,2.82,0,8,0
7.9,70.2,82.9,87.7,4.9,4,54.1,-0.66,3.36,0,7,0
10.3,58.5,61.0,72.6,3.8,1,45.1,-0.79,2.68,1,5,0
7.7,28.6,55.2,23.4,6.3,3,73.5,-0.66,2.66,0,8,1
4.3,26.3,69.9,60.4,8.3,3,41.6,-0.26,2.07,1,5,0
5.0,77.0,83.0,60.1,3.1,5,75.7,0.28,2.71,0,3,0
5.0,42.1,59.1,34.9,2.5,4,13.6,-0.96,2.5,0,2,1
11.1,73.8,80.6,90.5,4.6,2,75.8,0.97,3.62,1,8,0
7.6,54.2,61.7,60.2,0.1,3,75.6,1.0,2.65,1,7,0
6.8,67.7,71.9,62.7,0.4,6,50.4,0.5,3.62,0,8,0
6.6,54.7,36.8,33.2,0.3,0,29.8,-0.5,2.51,1,2,0
3.7,46.2,59.4,50.5,4.7,3,47.9,-0.57,2.27,1,2,1
15.3,89.1,73.9,89.6,0.0,4,83.2,0.37,3.63,0,3,0
4.7,61.6,57.7,79.1,5.0,4,62.8,0.49,3.0,1,1,0
5.9,59.8,99.9,82.7,5.4,8,54.9,-0.02,2.75,0,8,0
4.2,46.5,66.5,62.6,6.2,3,56.7,0.43,2.23,1,4,0
2.5,66.0,48.0,59.7,1.0,1,75.1,0.62,2.83,0,6,0
10.8,94.3,73.4,100.0,0.0,7,100.0,1.45,3.46,0,3,0
7.2,54.4,68.9,80.1,0.8,8,80.7,0.28,3.9,0,6,0
13.3,76.4,91.9,76.7,2.8,12,78.3,0.09,4.0,0,6,0
6.9,24.0,51.4,53.8,6.2,1,80.8,-0.46,2.72,0,1,1
3.2,48.6,44.3,9.9,5.5,1,55.2,-0.16,2.8,0,6,1
16.2,61.5,75.7,95.0,3.1,7,67.7,0.24,2.65,0,7,0
6.9,55.1,70.1,88.8,7.2,5,64.8,0.74,2.33,0,2,0
6.5,66.1,69.8,74.4,1.9,4,47.8,0.17,2.79,0,7,0
5.4,41.2,80.2,91.7,0.5,5,75.1,0.56,2.55,0,2,0
6.0,49.1,57.2,56.4,0.7,4,63.2,-0.37,2.92,0,5,0
5.8,41.0,50.0,38.4,4.5,2,57.3,-1.35,2.15,0,5,0
1.6,33.8,49.2,28.0,3.5,2,38.5,-0.84,2.56,0,6,1
6.1,49.3,71.2,80.0,4.2,2,33.3,-0.17,2.88,1,1,0
5.6,28.8,63.7,36.8,2.9,3,47.4,-0.19,2.82,0,8,1
8.6,79.4,74.3,75.6,2.7,13,89.0,0.68,3.58,0,4,0
6.8,51.3,69.5,76.5,1.2,2,50.5,1.04,2.99,0,6,0
11.0,71.8,64.0,75.3,1.5,3,69.2,0.66,2.58,0,6,0
6.9,68.7,61.9,86.9,1.2,7,100.0,0.45,3.55,0,1,0
5.4,55.4,53.7,42.5,0.0,4,43.0,-0.23,2.23,1,1,0
6.1,48.6,43.1,50.4,3.1,1,43.8,-0.68,3.28,0,6,0
6.3,28.1,39.2,56.8,5.1,0,66.2,-0.57,2.66,0,7,1
7.9,75.0,68.8,57.0,0.7,3,61.3,-0.19,3.35,0,7,0
3.8,34.6,35.3,32.6,7.7,3,31.0,-1.27,1.94,0,4,1
4.1,55.7,51.0,62.9,3.7,2,43.5,0.09,2.69,0,1,0
6.7,23.8,57.1,37.8,2.8,5,54.0,-0.59,2.06,0,1,0
10.7,54.3,61.2,75.6,0.7,3,64.1,0.54,3.26,1,8,1
6.1,22.9,51.0,52.7,6.0,3,61.6,-0.74,2.22,1,3,0
6.3,47.6,46.7,62.5,1.1,6,61.7,-0.62,2.86,1,7,0
4.9,35.9,38.8,70.9,4.3,1,48.7,-0.63,1.81,0,4,1
3.7,45.8,70.8,61.5,5.2,1,59.8,-1.57,2.55,0,2,1
8.3,77.5,78.0,55.3,3.1,7,63.4,0.88,2.39,0,5,0
2.4,40.8,69.8,35.0,3.1,1,18.6,-1.23,3.17,1,2,0
8.4,83.8,62.9,67.2,3.7,7,76.9,0.24,3.28,0,6,0
8.3,58.8,94.1,81.6,2.0,2,71.0,0.84,3.34,0,7,0
9.7,65.5,61.6,85.5,0.0,5,58.8,0.21,3.5,0,2,0
7.1,26.5,45.8,50.4,6.1,0,54.4,-1.17,1.9,0,5,1
5.1,54.6,89.9,56.4,2.0,0,74.3,0.68,2.34,1,5,0
2.8,66.6,40.3,14.6,3.4,2,40.3,-1.45,2.77,0,1,1
8.0,31.5,77.2,77.2,3.7,2,52.5,-1.53,2.84,0,4,1
8.1,70.1,65.9,64.4,1.4,4,40.7,0.69,2.66,1,6,1
7.2,78.4,55.6,73.5,3.8,3,60.6,-0.61,3.42,1,6,0
11.3,47.7,50.1,72.0,0.2,5,67.1,0.96,3.21,1,5,0
4.2,51.7,56.1,41.9,2.2,1,48.0,-0.11,2.9,0,4,0
0.0,35.1,37.6,45.4,6.1,0,37.5,-0.33,2.72,0,8,1
8.0,72.9,74.4,69.1,1.5,4,88.8,0.33,3.07,0,7,0
12.2,57.2,46.0,90.7,0.1,3,66.0,-0.22,3.07,0,7,0
8.9,70.2,81.3,46.4,1.7,6,100.0,0.41,2.45,1,1,0
7.4,84.2,53.3,59.2,2.8,6,72.3,-0.12,2.95,1,6,0
3.7,30.3,43.3,35.9,1.1,0,0.0,-0.08,2.17,0,6,1
12.2,64.5,60.5,100.0,4.9,8,54.7,0.19,3.69,0,2,0
6.3,52.8,74.6,70.1,6.5,6,64.0,0.19,3.07,1,8,0
11.8,46.5,55.5,59.6,1.5,2,67.6,1.4,3.12,0,6,0
5.3,34.3,52.4,52.9,2.9,6,39.2,-0.82,2.29,0,8,0
13.3,100.0,95.7,100.0,0.6,6,66.5,1.38,4.0,1,5,0
7.7,54.8,68.3,97.7,4.4,3,50.7,-0.47,2.8,0,6,0
5.7,45.5,45.7,55.2,3.8,5,58.8,-0.18,2.9,1,8,0
9.6,71.2,52.3,57.3,2.4,5,77.1,0.19,3.64,1,5,0
2.5,44.2,54.7,47.1,6.9,2,18.9,-1.17,2.3,1,1,0
1.1,58.0,47.7,46.1,6.1,6,56.3,-0.49,2.39,0,4,0
8.4,58.6,57.8,79.1,0.2,2,45.7,-0.37,3.01,1,4,0
4.4,52.7,75.6,76.7,4.3,6,69.2,0.7,2.75,0,6,0
5.7,31.8,40.1,48.8,6.3,6,45.1,-1.33,2.46,0,3,0
10.1,92.5,71.9,90.9,1.9,9,61.1,-0.01,2.55,0,2,0
11.5,62.7,57.5,93.4,3.5,4,44.9,0.08,2.9,0,3,0
6.0,86.2,52.4,56.9,2.2,6,63.2,-0.27,3.14,1,4,0
4.0,31.6,36.5,24.7,1.7,1,28.0,-0.51,2.57,1,3,1
4.8,92.0,74.7,77.0,5.8,5,63.9,0.41,3.88,0,4,0
0.8,17.5,62.2,20.9,1.6,2,47.5,-1.8,2.7,0,5,1
4.6,47.0,55.8,57.6,5.3,4,78.1,1.03,3.43,0,7,0
7.5,38.2,46.4,36.0,3.6,4,26.9,-0.69,2.52,0,7,1
10.4,100.0,85.6,73.3,3.2,6,86.1,1.24,3.49,0,1,0
9.1,39.1,61.2,71.9,3.4,4,32.5,1.02,2.93,1,6,1
0.1,44.5,73.4,62.1,4.7,2,72.0,0.73,3.03,1,3,0
11.9,77.3,66.0,79.5,3.2,5,91.6,0.36,2.89,0,8,0
5.3,54.7,46.3,60.0,2.1,1,32.1,-1.2,2.19,0,6,1
10.6,62.7,84.8,77.5,1.8,6,75.1,-0.14,3.38,1,5,0
4.8,45.5,45.3,79.9,2.3,6,77.0,0.81,3.56,0,7,0
4.4,40.0,15.2,29.7,5.8,3,32.4,-1.18,2.25,1,5,1
2.8,7.3,75.4,38.4,4.5,1,46.1,-0.9,2.32,1,1,1
7.1,92.6,69.6,71.7,1.9,4,78.3,0.05,3.66,0,8,0
3.3,60.5,53.7,78.9,1.0,3,33.9,0.1,3.01,0,1,1
3.7,19.1,67.7,59.4,0.3,2,58.1,0.63,2.98,0,7,0
7.2,50.0,62.6,66.6,3.2,3,72.9,0.74,2.74,0,5,0
3.8,13.7,64.0,43.0,3.9,4,52.4,-0.67,2.35,1,6,1
2.7,35.4,72.5,73.8,0.7,5,85.3,0.33,3.36,0,5,0
7.1,41.8,40.8,68.9,4.3,0,20.4,-0.25,2.54,0,3,1
5.9,66.3,100.0,66.3,2.0,6,92.5,1.57,4.0,1,3,0
9.8,84.8,65.9,59.3,3.3,6,42.6,-0.12,2.89,0,7,0
9.6,51.6,54.2,49.0,3.8,0,26.5,-1.06,2.51,1,2,0
4.7,82.3,72.9,64.3,0.0,4,87.8,1.02,3.45,1,7,0
10.2,56.9,38.9,87.0,0.0,4,56.7,0.2,2.68,0,2,0
5.1,36.1,44.8,26.3,4.8,6,33.2,-0.87,2.69,0,5,1
7.6,91.5,61.0,67.7,0.3,3,75.6,0.55,3.29,1,2,0
4.8,54.4,43.6,43.2,1.7,4,12.1,-0.69,2.92,1,5,1
5.9,45.2,41.7,60.3,4.5,1,64.3,-0.4,2.07,0,1,1
7.1,43.0,73.7,48.6,6.7,5,93.3,-0.06,2.6,0,1,0
0.1,38.5,63.8,32.4,2.1,4,71.4,-0.57,1.91,1,3,1
7.8,28.4,43.8,40.7,8.8,1,36.6,0.38,1.89,1,6,1
12.0,88.0,78.6,85.8,0.8,5,79.0,0.33,3.35,1,4,0
5.7,31.8,60.6,70.5,4.4,3,30.5,-0.07,2.36,1,7,1
4.5,55.2,56.0,69.8,5.0,2,74.1,-0.15,2.71,1,7,0
6.1,34.0,71.8,59.4,5.0,5,71.5,-0.71,2.86,0,6,1
11.5,64.6,78.2,49.6,2.8,4,74.3,0.12,3.39,0,8,0
9.4,45.9,74.2,56.1,1.5,8,75.1,-0.38,3.5,0,5,1
8.7,80.2,57.0,40.8,4.1,3,67.8,1.42,3.36,1,8,0
0.0,19.8,41.8,32.1,5.6,2,19.7,-1.21,2.46,1,6,1
3.1,23.3,48.7,32.9,3.2,3,82.8,-0.84,2.49,0,3,0
8.5,47.3,71.4,68.6,5.0,0,61.2,1.49,3.17,0,8,0
8.5,34.9,55.6,63.7,3.8,4,48.5,-0.54,3.33,0,2,1
5.9,60.9,54.1,90.4,1.3,2,77.1,0.75,3.23,1,5,0
10.4,77.7,72.4,78.3,0.5,7,64.0,0.62,2.35,0,3,0
5.0,74.6,57.0,69.2,6.3,3,62.8,-0.98,2.97,1,2,0
9.1,89.7,70.3,51.8,0.9,6,95.7,0.25,2.35,0,5,0
6.6,80.2,68.8,62.0,4.3,2,68.8,0.23,1.96,1,3,0
2.9,66.9,65.9,73.4,3.7,5,68.3,-0.06,2.58,0,4,0
6.4,44.2,46.0,65.3,4.4,0,28.9,-0.09,2.75,0,3,0
6.2,62.3,69.8,51.2,6.3,6,69.1,-0.2,2.81,0,5,0
12.6,35.3,98.0,70.0,3.8,2,52.6,0.06,2.38,0,2,0
6.1,65.4,71.2,64.3,4.4,4,50.1,-0.16,3.31,0,5,1
11.4,82.0,78.7,79.4,0.8,4,83.7,2.03,3.18,1,7,0
3.2,73.5,74.0,48.2,1.8,4,51.8,-0.73,3.01,1,5,1
11.6,72.2,100.0,56.6,5.8,6,95.6,0.68,3.29,0,3,0
3.2,43.4,57.7,33.1,3.9,0,53.5,-0.64,2.16,0,5,1
3.6,29.6,33.6,56.7,3.2,3,63.1,-1.23,2.85,1,6,0
10.2,26.3,48.6,50.5,5.1,3,8.2,-0.67,2.03,0,1,1
3.1,9.6,62.3,44.2,4.5,1,80.6,-1.49,2.45,1,7,1
7.8,85.0,45.3,87.3,5.3,5,66.0,-0.32,3.29,1,4,0
9.2,70.4,73.5,61.0,3.9,4,79.0,-0.69,2.18,1,2,0
6.8,59.9,69.5,60.4,0.0,9,23.3,-0.57,3.45,0,4,0
7.4,54.4,74.8,51.2,1.7,4,48.6,0.61,2.32,1,7,0
5.1,33.6,44.4,49.6,4.2,3,10.8,-0.44,1.78,1,6,1
6.7,39.2,61.4,52.3,5.2,4,35.8,0.33,2.37,0,7,0
15.7,77.3,82.9,71.9,0.0,5,77.4,1.2,3.83,0,8,0
3.6,38.7,63.5,30.1,4.4,3,42.5,-0.43,1.85,0,8,0
11.0,70.6,68.6,49.9,4.2,3,82.0,0.01,3.25,0,3,0
9.1,58.2,56.7,62.5,4.1,4,95.3,0.83,3.23,0,3,0
4.8,59.6,34.8,24.8,4.6,1,11.1,-0.09,2.13,0,6,0
7.4,51.0,60.2,45.2,5.0,6,46.1,-0.85,2.95,0,7,1
11.5,55.3,76.1,84.5,1.2,3,37.6,1.46,2.72,0,8,0
5.3,56.5,63.3,65.6,5.1,2,72.4,-1.01,3.08,0,1,0
7.2,60.1,48.8,88.5,3.1,2,53.4,-0.53,2.5,0,8,0
11.9,67.6,60.4,49.0,2.1,9,68.7,0.44,2.38,1,3,1
2.7,42.3,54.4,48.3,4.1,2,44.2,-0.6,2.34,0,8,1
12.7,79.9,74.2,76.5,2.6,4,72.5,1.94,3.87,1,7,0
10.1,65.0,88.6,83.0,0.0,7,62.2,1.35,3.7,0,6,0
6.4,56.4,75.3,100.0,3.4,5,74.4,0.84,4.0,0,3,0
0.0,37.7,58.2,10.6,6.3,4,26.9,-0.33,2.06,1,7,1
5.1,66.0,44.4,43.0,2.9,8,52.8,-0.2,2.52,1,7,0
11.6,45.7,91.7,65.4,1.8,4,42.2,0.12,3.17,0,7,0
3.5,45.4,83.6,65.0,0.3,8,71.9,0.7,2.82,1,3,0
9.6,48.1,68.8,44.5,0.0,9,58.8,0.55,3.04,0,4,0
8.3,60.1,46.8,75.7,3.6,6,54.1,-0.73,2.21,1,8,0
3.8,67.8,85.6,82.3,3.2,0,73.8,0.76,1.75,0,1,0
5.5,41.3,52.4,72.1,2.0,3,48.4,-0.0,2.63,1,5,0
6.3,72.9,54.2,28.3,1.2,1,64.9,-1.19,2.52,0,2,0
9.3,50.7,67.8,68.1,3.6,3,27.6,-0.53,3.25,0,6,0
10.9,75.6,61.9,74.6,2.1,3,84.4,0.29,2.59,1,1,0
3.5,52.7,60.5,54.9,2.2,1,66.4,0.13,2.25,0,4,1
8.2,63.6,69.4,83.1,3.8,4,62.9,1.08,4.0,0,6,0
10.7,46.0,83.5,81.1,1.0,4,39.1,0.2,2.16,0,5,0
3.5,30.8,43.8,41.5,4.6,1,20.2,-0.87,2.53,0,8,1
9.4,42.6,66.9,67.2,0.0,3,81.3,0.32,3.58,1,5,0
11.4,44.1,39.7,65.3,0.3,1,45.0,-0.44,2.36,0,6,0
10.0,45.1,81.4,74.8,3.2,3,57.8,0.16,2.34,0,2,0
10.7,64.8,94.9,82.4,1.3,3,48.8,0.36,4.0,1,7,0
12.3,98.5,98.0,84.0,0.0,7,100.0,0.1,3.67,0,5,0
9.0,70.5,80.1,75.1,4.3,4,44.7,0.62,3.45,1,1,0
13.0,75.0,80.3,83.3,1.7,3,84.2,0.37,3.58,0,5,1
10.3,74.5,85.3,79.0,0.0,6,88.4,0.22,3.97,1,6,0
10.2,51.4,60.5,66.8,4.5,5,52.6,-0.39,1.72,0,4,0
11.9,100.0,69.0,100.0,0.0,3,71.6,1.45,3.37,1,5,0
3.8,42.1,61.6,65.3,0.0,4,54.0,0.32,3.46,0,4,0
5.5,40.6,62.1,58.1,2.0,3,54.3,-1.56,1.83,0,5,1
0.0,44.0,38.0,47.5,3.8,1,34.6,-0.26,2.27,0,2,1
10.5,85.0,44.4,100.0,2.1,5,97.7,0.37,3.36,0,8,0
7.9,60.2,55.5,69.9,0.0,10,53.0,0.1,2.77,0,1,0
14.4,59.0,86.8,88.6,0.0,2,88.2,0.49,3.38,0,4,0
10.2,73.0,52.6,64.4,0.4,5,38.6,-0.33,3.44,1,5,1
6.8,57.2,43.1,29.4,2.5,5,27.2,-0.5,2.6,0,3,0
2.6,38.7,48.3,51.1,5.1,3,31.5,-1.18,2.39,1,3,1
9.7,49.4,71.1,86.7,1.5,7,44.2,0.03,2.67,0,7,0
9.9,87.8,89.8,100.0,2.2,7,91.6,0.86,3.9,0,1,0
14.2,61.7,91.7,60.1,2.9,3,84.4,1.53,3.87,0,8,0
5.7,62.1,68.9,83.1,3.2,5,26.1,0.38,3.31,1,7,1
6.0,63.8,44.2,31.3,0.0,4,85.2,0.12,2.73,0,6,0
2.3,55.6,63.5,63.5,2.9,2,49.1,-1.15,2.75,1,4,1
5.5,40.2,31.4,58.9,3.2,0,45.7,-0.5,3.01,1,7,0
9.5,62.2,58.0,43.8,3.8,5,64.7,-0.29,2.6,0,2,0
12.7,100.0,97.5,98.5,0.0,10,100.0,1.67,3.64,0,6,0
5.4,54.3,82.2,48.7,1.9,4,42.3,-1.05,2.36,0,2,0
0.0,24.5,46.8,56.9,0.6,3,14.5,-0.8,3.37,0,1,0
9.2,51.9,75.5,64.2,0.0,5,91.0,1.16,2.98,0,2,0
4.3,48.5,41.7,33.4,4.0,2,14.9,0.03,2.1,1,8,1
7.3,69.8,71.0,86.7,0.5,1,90.2,0.55,2.93,1,8,0
9.1,69.3,64.5,33.0,1.7,2,34.0,-1.02,1.72,1,5,1
7.2,34.9,68.7,74.8,2.4,5,49.3,-0.66,3.08,0,6,0
12.9,75.2,76.1,53.2,0.3,3,54.4,0.86,3.38,0,8,0
4.8,51.7,46.6,27.3,4.4,2,17.4,-0.43,2.43,0,1,0
4.6,32.0,64.2,46.5,2.7,6,44.3,-0.55,2.5,0,6,1
2.7,48.6,30.3,44.7,1.0,2,33.8,-1.39,2.72,1,4,1
6.3,66.0,69.8,65.8,0.0,7,60.8,1.1,3.67,1,2,0
8.2,44.9,60.9,43.8,2.8,4,84.7,-0.57,2.08,0,5,0
9.7,63.4,70.3,100.0,0.2,5,92.7,1.21,4.0,0,7,0
7.1,50.2,13.3,72.4,0.5,4,49.7,-1.36,2.56,0,8,0
7.1,97.8,87.6,65.3,3.5,5,17.1,1.06,3.45,1,6,0
1.3,39.6,45.6,36.9,4.7,2,52.7,-1.14,2.45,0,6,1
8.8,46.0,49.7,60.9,1.4,5,100.0,0.91,3.03,0,7,0
6.4,85.1,80.7,100.0,1.8,5,62.6,0.68,3.41,0,2,0
5.4,39.6,56.9,59.1,0.9,3,39.2,-0.99,3.46,1,1,0
2.7,72.5,43.6,78.4,5.0,7,52.8,-0.14,3.08,1,1,0
5.5,34.1,65.6,71.9,7.0,3,30.1,0.93,2.73,0,2,0
4.4,40.3,48.3,43.4,2.7,4,48.3,-1.0,2.37,0,6,0
7.1,83.6,59.6,58.0,4.8,12,89.8,1.19,2.76,0,8,0
9.5,45.3,55.8,77.2,0.8,5,48.5,0.34,3.34,0,1,0
2.8,24.0,24.9,20.8,3.8,0,16.1,-0.3,2.37,0,8,0
15.6,78.6,76.2,62.5,5.2,3,61.9,0.31,2.89,1,3,0
8.8,26.1,51.4,76.9,2.2,6,53.0,0.09,3.69,0,8,0
4.2,79.4,61.2,68.7,3.4,3,40.1,1.46,3.71,0,6,1
5.5,46.6,58.2,50.0,2.7,5,44.0,0.19,3.63,0,8,0
7.6,82.9,84.9,63.7,0.0,5,52.8,0.07,2.67,0,8,0
2.2,20.0,46.4,31.2,8.9,5,61.1,-0.52,2.27,0,8,1
10.0,54.2,85.3,87.8,1.0,6,96.8,0.35,3.32,0,1,0
6.2,52.7,68.3,68.4,2.7,3,88.0,0.26,4.0,0,8,1
7.4,43.2,70.7,39.0,1.5,7,68.8,0.6,2.82,0,7,0
0.9,42.8,78.6,46.7,4.9,7,52.7,-0.41,3.3,1,8,0
10.6,53.1,61.2,61.7,3.8,8,46.5,-0.35,3.55,1,8,0
4.6,35.6,71.1,66.9,0.0,6,91.3,-0.21,3.13,0,4,0
3.8,35.8,50.6,55.0,4.2,4,47.3,-0.57,2.47,0,2,0
8.1,79.0,85.0,71.0,3.2,4,54.1,0.22,3.69,0,6,0
8.0,53.9,65.5,100.0,5.0,3,42.7,-0.8,3.58,0,3,0
5.9,55.2,52.7,79.4,4.3,3,30.9,-0.86,2.71,0,2,0
4.0,31.1,42.7,59.9,5.8,1,0.0,-0.16,2.0,0,6,0
13.1,57.8,100.0,68.8,0.2,6,86.3,0.72,3.97,0,1,0
8.4,46.7,63.3,28.5,0.5,5,31.7,-0.09,2.23,1,3,0
7.5,59.3,41.6,59.8,2.0,3,46.3,-0.49,3.09,0,2,0
8.0,50.2,56.7,65.7,0.3,5,57.0,-0.39,3.4,1,1,0
8.2,6.8,42.4,36.2,2.9,1,30.2,-1.25,2.45,0,6,1
11.4,90.0,73.9,70.0,0.2,7,60.1,0.4,3.04,1,1,0
6.6,42.5,63.3,38.3,0.7,5,86.8,-0.92,2.45,0,6,0
8.5,24.8,56.9,41.7,4.6,3,19.3,0.26,3.2,0,2,0
8.5,59.2,71.4,62.1,0.5,4,34.1,0.11,2.9,1,6,0
3.1,39.8,57.4,45.4,7.1,1,56.1,-0.24,2.18,0,2,1
6.3,62.5,72.7,53.5,4.8,2,44.8,0.5,3.43,0,8,0
4.7,77.6,52.1,59.4,4.5,4,54.4,0.83,3.55,0,2,1
0.0,54.6,50.6,76.9,2.1,4,27.6,-0.73,2.08,0,3,0
